,CID,카테고리명,KDC분류,KDC분류명,GenreEnum
2050,179242,유통관리사,37,교육학,EDUCATION
2051,179243,응급구조사,37,교육학,EDUCATION
2052,184686,의료기기RA전문가,37,교육학,EDUCATION
2053,182504,의사,37,교육학,EDUCATION
2054,179244,임상병리사,37,교육학,EDUCATION
2055,179245,자가용조종사,37,교육학,EDUCATION
2056,179246,자동차운전면허,37,교육학,EDUCATION
2057,179247,작업치료사,37,교육학,EDUCATION
2058,179248,장애인재활상담사,37,교육학,EDUCATION
2059,179249,전문상담교사,37,교육학,EDUCATION
2060,179250,정수시설운영관리사,37,교육학,EDUCATION
2061,179251,정신건강,37,교육학,EDUCATION
2062,179252,주택관리사보,37,교육학,EDUCATION
2063,179253,철도차량운전면허,37,교육학,EDUCATION
2064,179254,청소년상담/지도사,37,교육학,EDUCATION
2065,179256,초경량비행장치조종자(드론),37,교육학,EDUCATION
2066,179255,치과위생/기공사,37,교육학,EDUCATION
2068,179258,평생교육사,37,교육학,EDUCATION
2069,179259,학예사,37,교육학,EDUCATION
2070,179260,한국어교육능력검정시험,71,한국어,KOREAN
2071,179261,항공교통,37,교육학,EDUCATION
2072,179262,항해사,37,교육학,EDUCATION
2073,179263,행정사,37,교육학,EDUCATION
2075,179265,화물운송종사자,37,교육학,EDUCATION
2077,179267,환경측정분석사,37,교육학,EDUCATION
2078,182299,귀화시험,37,교육학,EDUCATION
2079,36562,매경 TEST,37,교육학,EDUCATION
2080,178953,민간자격,37,교육학,EDUCATION
2081,181762,건강보험청구관리사,37,교육학,EDUCATION
2082,179283,경제이해력검증시험(TESAT),37,교육학,EDUCATION
2083,188246,공인원가분석사,37,교육학,EDUCATION
2084,179284,국어능력인증시험,37,교육학,EDUCATION
2085,184970,국제무역사,90,역사,HISTORY
2086,179285,그래픽기술자격(GTQ),37,교육학,EDUCATION
2088,179286,기계설계제도사,53,기계공학,MECHANICAL_ENGINEERING
2089,182331,기술신용평가사,37,교육학,EDUCATION
2090,179287,네트워크관리사,37,교육학,EDUCATION
2091,185067,농어촌개발컨설턴트,37,교육학,EDUCATION
2094,179290,도로교통사고감정사,37,교육학,EDUCATION
2095,187103,동물매개심리상담사,37,교육학,EDUCATION
2096,179291,디지털정보활용능력(DIAT),37,교육학,EDUCATION
2097,179292,매경TEST,37,교육학,EDUCATION
2098,179293,무역영어,74,영어,ENGLISH
2099,179294,문서실무사,37,교육학,EDUCATION
2100,181679,반려견스타일리스트,37,교육학,EDUCATION
2101,188798,반려동물수제간식전문가,37,교육학,EDUCATION
2102,182238,베이비시터,37,교육학,EDUCATION
2103,179295,병원행정사,37,교육학,EDUCATION
2105,184149,상담심리사,37,교육학,EDUCATION
2106,188245,새분류,37,교육학,EDUCATION
2107,179296,샵마스터,37,교육학,EDUCATION
2108,183049,서비스 전문강사(CPSI),37,교육학,EDUCATION
2111,179298,신용관리사,37,교육학,EDUCATION
2112,179299,신용분석사(CCA),37,교육학,EDUCATION
2113,187387,신용상담사,37,교육학,EDUCATION
2114,179300,실용한자,37,교육학,EDUCATION
2115,179301,여신심사역(CLO),37,교육학,EDUCATION
2116,179302,외환전문역(CFES),37,교육학,EDUCATION
2117,184832,원산지관리사,37,교육학,EDUCATION
2118,182188,은행텔러,37,교육학,EDUCATION
2119,183201,음향전문사,37,교육학,EDUCATION
2120,179303,인터넷정보관리사,37,교육학,EDUCATION
2121,179304,자동차진단평가사,37,교육학,EDUCATION
2122,179305,자산관리사(FP),37,교육학,EDUCATION
2123,179306,재경관리사(CAM),37,교육학,EDUCATION
2128,179310,정보보호전문가(SIS),37,교육학,EDUCATION
2129,179311,정보시스템감리사,37,교육학,EDUCATION
2130,179312,종이접기마스터,37,교육학,EDUCATION
2131,181388,증권투자권유자문인력/증권투자권유대행인,37,교육학,EDUCATION
2132,179313,지식재산능력시험,37,교육학,EDUCATION
2133,184659,창업보육전문매니저,32,경제학,ECONOMICS
2134,181885,커피 바리스타,37,교육학,EDUCATION
2136,182829,탐정사,37,교육학,EDUCATION
2137,181648,투자자산운용사,37,교육학,EDUCATION
2138,181758,파생상품투자권유자문인력,37,교육학,EDUCATION
2139,179315,패션스타일리스트,37,교육학,EDUCATION
2140,181387,펀드투자권유대행인/펀드투자권유자문인력,37,교육학,EDUCATION
2141,179316,한국실용글쓰기검정,37,교육학,EDUCATION
2142,179317,한자.한문지도사,37,교육학,EDUCATION
2143,179318,행정관리사,37,교육학,EDUCATION
2145,183687,AFPK/CFP,37,교육학,EDUCATION
2146,179270,"AT자격시험(FAT,TAT)",37,교육학,EDUCATION
2147,188225,BIM 운용전문가,37,교육학,EDUCATION
2148,179271,CS Leaders(관리사),37,교육학,EDUCATION
2149,179272,ERP물류정보관리사,37,교육학,EDUCATION
2150,179273,ERP생산정보관리사,37,교육학,EDUCATION
2151,179274,ERP인사정보관리사,37,교육학,EDUCATION
2153,179276,E-TEST Professionals,37,교육학,EDUCATION
2154,179277,FLEX (한국외대),37,교육학,EDUCATION
2155,181403,GMP/밸리데이션기술인,37,교육학,EDUCATION
2156,182096,IFRS관리사,37,교육학,EDUCATION
2157,179278,KBS한국어능력시험,71,한국어,KOREAN
2158,179279,"RFID기술자격검정(RFID-GL, RFID-SL)",37,교육학,EDUCATION
2159,179280,SQL,37,교육학,EDUCATION
2160,179281,TEPS영어능력검정,74,영어,ENGLISH
2161,179282,YBM商務漢檢,37,교육학,EDUCATION
2162,34921,운전면허,37,교육학,EDUCATION
2163,34700,인문/사회/법(고등고시),37,교육학,EDUCATION
2164,50762,고시 가이드북,37,교육학,EDUCATION
2165,34771,법무사,37,교육학,EDUCATION
2166,157809,변호사시험,37,교육학,EDUCATION
2167,34786,헌법,37,교육학,EDUCATION
